app.web.3done.linyaps,网页应用，网站已挂
cn.ankexinchuang.weimail.linyaps,启动时间较长
cn.bitnum.certmanager,qt.network.ssl: No TLS backend is available
cn.bjca.certaide.linyaps, 试图打开本地网页-等待修复
cn.com.sangfor.atrust.linyaps,Error: connect ENOENT /usr/share/sangfor/.aTrust/var/run/aTrustTunnel-c46a26c5-2cd4-4c20-9352-8efbb6358ea0
cn.com.gf.hippo.linyaps,Received signal 11 SEGV_MAPERR 000000000000
cn.com.topsec.topsap.linyaps, VPN软件，能启动不一定能用
cn.com.topsec.topnac.linyaps,Segmentation fault
cn.coremail.cmclient.linyaps, 控件全灰
cn.foxitsoftware.online.linyaps, 打开网页https://online.foxitsoftware.cn/ xdg失败-等待修复
cn.fxkp.fxkpofficesuite.appstore.linyaps, 显示安装有误-等待修复
cn.gzca.certmanager.linyaps, Segmentation fault，读取了USB，可能需要加密狗
cn.hitecloud.hitecenter.linyaps, 无快捷方式，等待修复
cn.hitecloud.hitecontroller.linyaps, 提示需要重启，不一定能用
cn.lanxin.linyaps, 启动器模型，等待修复
cn.newcloud.newss.linyaps,TScrollBox.Destroy with LCLRefCount>0
com.360.browser-stable, 提示安装损坏
cn.wps.wps-office-pro.linyaps, 段错误，等待修复
com.aivisioning.dsplayer.linyaps,[python]:加载dll失败 等待排查
com.amdox.booth.linyaps, 仓库中找不到libdc1394.so.22，等待排查
com.apps.vplayer.linyaps,系统非常卡，日志无报错，无界面
com.apps.ipcsearch.linyaps,无法启动，网络相关应用，可能需要root
com.bhyf.bhpainter.linyaps, 右下角有图标，但点不开
com.biometrics.fprint.ft9348.linyaps,无快捷方式，跳过
com.bjzaxk.zacleantool.linyaps, 需要服务启动，跳过
com.bjzaxk.zachecktool.linyaps, 可以启动，不过弹窗关掉后卡住，需要读取光盘，可能不可用
com.cfca.seceditctl.cgb.linyaps, 无启动文件
com.codeweavers.crossover.linyaps, 有界面，但需要启动服务，得想办法修复服务问题
com.cvicse.ump.agentpc.linyaps,纯服务无界面
com.eagleyun.yunshu.linyaps, 需要服务启动，跳过